Age,Height,Weight,Chest,Size
32,171.8,75.6,99.6,M
25,160.4,59.5,77.3,XXS
22,174.8,86.3,99.6,M
21,165.0,68.6,93.5,S
21,167.9,76.3,96.5,M
21,163.5,72.5,99.5,M
34,167.3,63.9,86.2,XS
25,164.3,55.9,85.6,XS
42,169.1,76.4,96.4,M
39,167.2,69.9,96.9,M
19,163.8,63.0,83.9,XXS
18,167.6,60.6,80.3,XXS
21,165.5,68.0,91.8,S
31,167.5,65.4,91.4,S
20,150.8,53.8,82.0,XXS
36,167.9,73.1,100.6,M
22,169.2,76.6,97.0,M
31,163.1,57.7,88.2,XS
20,153.3,59.8,90.9,S
25,156.3,68.6,99.6,M
25,165.5,70.8,90.8,S
38,149.6,48.8,78.6,XXS
23,177.7,76.6,93.5,S
24,154.6,58.3,89.7,XS
21,168.5,68.5,90.6,S
20,160.8,58.5,85.0,XS
19,163.2,71.9,92.9,S
27,169.0,64.9,89.2,XS
18,165.5,58.3,79.8,XXS
19,157.4,64.8,93.3,S
18,165.9,56.4,84.1,XS
25,154.1,47.8,81.2,XXS
41,167.5,59.1,84.3,XS
19,165.2,66.5,93.6,S
24,159.3,64.9,94.5,S
21,156.5,51.2,78.4,XXS
42,153.0,49.6,80.4,XXS
25,160.0,74.4,93.2,S
26,161.5,68.0,92.7,S
21,155.7,50.6,78.3,XXS
19,167.9,59.1,84.6,XS
26,166.2,71.2,90.9,S
31,169.6,84.4,112.1,XL
36,165.7,54.7,89.2,XS
23,149.5,48.7,81.4,XXS
23,164.4,61.2,93.9,S
29,165.2,72.2,93.3,S
22,156.6,56.7,89.4,XS
28,165.3,68.8,95.7,M
28,160.4,54.2,78.7,XXS
23,159.4,61.1,85.3,XS
29,162.7,67.2,98.9,M
24,172.9,74.9,92.7,S
41,160.2,58.5,88.3,XS
23,161.5,60.5,93.0,S
20,164.5,60.1,86.2,XS
26,162.3,62.1,87.7,XS
20,159.5,60.9,83.0,XXS
22,148.0,47.0,79.8,XXS
32,169.6,78.6,95.5,M
41,168.0,72.5,95.8,M
23,159.0,51.6,78.7,XXS
28,152.9,50.1,80.2,XXS
38,155.1,62.6,91.7,S
32,170.9,78.7,94.2,S
31,158.9,57.2,94.7,S
26,161.6,67.0,90.2,S
40,164.3,53.5,82.5,XXS
21,158.7,63.8,84.4,XS
20,169.1,75.2,88.8,XS
18,155.8,51.9,82.4,XXS
19,161.1,60.2,84.3,XS
32,172.4,70.1,91.5,S
28,162.3,78.2,95.8,M
20,168.6,61.1,88.0,XS
42,158.7,63.1,101.1,M
21,154.6,54.0,80.3,XXS
20,168.2,61.9,91.4,S
18,151.9,57.7,84.8,XS
19,163.1,67.3,86.7,XS
19,152.5,60.8,90.9,S
42,165.7,90.5,111.0,L
44,165.3,68.2,97.5,M
36,144.7,68.3,101.8,M
43,161.5,77.8,106.8,L
36,173.2,64.8,95.8,M
41,173.3,108.2,121.2,XL
38,176.0,87.5,100.4,M
46,166.9,78.8,105.2,L
50,160.2,84.4,107.3,L
37,161.1,66.7,91.0,S
40,160.7,74.9,105.7,L
45,158.2,82.7,104.3,L
34,163.6,69.5,90.2,S
22,170.2,69.7,90.9,S
23,159.1,52.8,78.3,XXS
41,172.4,78.5,103.6,L
38,165.7,66.9,96.5,M
42,159.1,55.6,83.0,XXS
53,163.0,84.0,107.7,L
33,173.0,83.1,94.5,S
38,169.5,73.5,94.3,S
26,159.8,76.3,94.8,S
31,160.6,63.7,95.3,M
41,164.4,70.0,97.5,M
40,157.5,62.6,92.3,S
41,164.2,60.7,88.1,XS
45,161.5,70.5,98.6,M
51,157.0,68.9,98.8,M
19,160.7,63.3,89.6,XS
19,162.6,56.4,82.3,XXS
20,172.9,72.9,93.5,S
19,150.1,61.8,93.2,S
24,165.7,61.8,88.3,XS
19,161.4,54.6,81.3,XXS
20,166.0,68.6,95.4,M
22,167.5,64.1,88.4,XS
20,163.8,63.5,86.5,XS
19,158.4,63.4,86.9,XS
19,168.0,68.4,92.7,S
19,166.7,68.0,89.6,XS
19,175.8,75.1,94.6,S
21,168.8,85.1,95.0,M
27,163.6,58.2,89.5,XS
19,160.7,70.9,91.0,S
23,159.4,66.4,87.6,XS
22,169.4,75.7,96.2,M
20,160.6,63.2,91.0,S
20,168.7,67.4,86.3,XS
19,157.4,60.2,89.6,XS
23,160.3,61.6,89.8,XS
22,155.9,58.4,92.1,S
21,165.9,71.7,91.4,S
20,161.4,60.6,92.0,S
22,163.0,64.8,86.9,XS
20,143.5,47.8,86.0,XS
21,167.2,75.1,95.1,M
21,170.8,73.9,93.6,S
23,167.6,68.6,101.7,M
27,160.9,62.0,84.4,XS
21,159.0,74.0,100.0,M
18,162.9,59.8,83.2,XXS
25,159.8,64.5,88.8,XS
19,156.0,56.3,89.5,XS
38,168.8,68.6,91.9,S
21,174.5,69.6,90.6,S
28,167.3,63.1,86.5,XS
27,166.2,72.9,95.0,M
20,157.6,54.8,90.6,S
28,172.0,65.0,90.8,S
19,170.1,70.0,90.6,S
21,162.0,58.0,81.5,XXS
18,167.0,73.8,95.2,M
18,163.0,47.8,77.5,XXS
20,163.6,58.3,81.5,XXS
22,171.4,84.9,95.6,M
20,170.2,73.2,92.7,S
18,159.0,60.9,85.5,XS
20,164.3,65.4,90.0,S
33,176.9,83.2,94.6,S
18,154.9,59.1,88.2,XS
18,153.3,69.5,97.3,M
19,159.2,60.9,84.8,XS
21,160.9,65.0,90.3,S
